gene_id	tissue_a	tissue_b	lnc_isi	n_aligned	n_random	p_deseq2_aligned	padj_deseq2_aligned	padj_edger_aligned	de_deseq2_aligned	de_edger_aligned	rand_tissue_a	rand_tissue_b	de_deseq2_random	de_edger_random	has_random	de_rank_aligned	de_rank_random
ENSG00000267254.5	Brain - Putamen (basal ganglia)	Lung	0.1732571669933385	14	14.0	0.0001462557977602	0.0003893566507941	0.004182960001692	True	True	Brain - Frontal Cortex (BA9)	Lung	True	True	True	True	False
ENSG00000225313.5	Brain - Putamen (basal ganglia)	Liver	0.4028421694378691	14	14.0	0.0012223508700397	0.0032320186447666	0.0067849376895192	True	True	Brain - Putamen (basal ganglia)	Lung	True	True	True	True	True
ENSG00000267421.6	Heart - Atrial Appendage	Lung	0.3094402547661337	17	17.0	0.0008944562251573	0.0029741771033558	0.0040954657338618	True	True	Brain - Cerebellar Hemisphere	Heart - Atrial Appendage	True	True	True	True	True
ENSG00000283633.1	Brain - Cerebellar Hemisphere	Cells - Cultured fibroblasts	0.4404647804908848	15	15.0	0.012953935035603	0.0204818259366151	0.0270396571646305	True	True	Brain - Putamen (basal ganglia)	Heart - Atrial Appendage	False	False	True	False	False
ENSG00000267072.2	Brain - Putamen (basal ganglia)	Lung	0.2572708050278898	14	14.0	0.312828661246555	0.388990733867448	0.485129343837591	False	False	Brain - Cerebellar Hemisphere	Brain - Frontal Cortex (BA9)	False	False	True	False	False
ENSG00000267322.2	Brain - Cerebellar Hemisphere	Heart - Left Ventricle	0.193126458174446	15	15.0	0.0951761141019588	0.130051969219757	0.17095981731068	False	False	Heart - Left Ventricle	Liver	True	True	True	False	True
ENSG00000267002.2	Brain - Putamen (basal ganglia)	Muscle - Skeletal	0.1678443411705891	15	15.0	4.17291342512118e-05	0.0001299806141203	0.0012658342511317	True	True	Cells - Cultured fibroblasts	Lung	False	False	True	True	True
ENSG00000267040.6	Lung	Muscle - Skeletal	0.168970418679263	17	17.0	3.82682864033367e-12	4.04076945408461e-11	8.99122560107933e-07	True	True	Heart - Atrial Appendage	Lung	False	False	True	True	False
ENSG00000268895.5	Brain - Putamen (basal ganglia)	Liver	0.391208510165409	14	14.0	0.0067363645004939	0.0149006638708337	0.0404938368979428	True	True	Brain - Putamen (basal ganglia)	Lung	True	True	True	True	True
ENSG00000236778.7	Liver	Lung	0.213744676418235	16	16.0	0.973878022906487	0.985558718833402	0.97987993189455	False	False	Heart - Atrial Appendage	Heart - Left Ventricle	False	False	True	False	False
ENSG00000268119.5	Brain - Frontal Cortex (BA9)	Lung	0.1586355195740144	14	14.0	0.969781302199461	0.978275736963252	0.83915679021664	False	False	Brain - Cerebellar Hemisphere	Brain - Frontal Cortex (BA9)	True	True	True	False	True
ENSG00000268093.1	Brain - Frontal Cortex (BA9)	Heart - Atrial Appendage	0.1880199009490593	15	15.0	0.188954757668179	0.278315160689637	0.123459218214034	False	False	Brain - Putamen (basal ganglia)	Heart - Atrial Appendage	False	False	True	False	False
ENSG00000269439.5	Brain - Frontal Cortex (BA9)	Liver	0.1094696875213574	14	14.0	0.4352919942699	0.554007992707145	0.443795840785419	False	False	Brain - Cerebellar Hemisphere	Brain - Frontal Cortex (BA9)	True	True	True	False	True
ENSG00000268401.1	Brain - Cerebellar Hemisphere	Brain - Frontal Cortex (BA9)	0.0423421112313553	14		0.0002818546536849	0.0010045211547778	0.0015590951594951	True	True			False	False	False	True	
ENSG00000268355.1	Cells - Cultured fibroblasts	Lung	0.0361849631102568	15		0.164821888486287	0.281860164346281	0.234185704902594	False	False			False	False	False	False	
ENSG00000270111.2	Brain - Frontal Cortex (BA9)	Brain - Putamen (basal ganglia)	0.0198451307607172	12		0.407834348719461	0.895078222570653	0.685740082431799	False	False			False	False	False	False	
ENSG00000270112.3	Brain - Frontal Cortex (BA9)	Muscle - Skeletal	0.2554653509980154	15	15.0	0.908380462955458	0.934798686710314	0.889813440974156	False	False	Brain - Frontal Cortex (BA9)	Heart - Atrial Appendage	False	False	True	False	False
ENSG00000269893.6	Brain - Cerebellar Hemisphere	Heart - Left Ventricle	0.3208550407831164	15	15.0	1.70220890596653e-07	6.692112727457e-07	2.47116333595014e-05	True	True	Heart - Left Ventricle	Lung	True	True	True	True	True
ENSG00000270049.2	Brain - Putamen (basal ganglia)	Cells - Cultured fibroblasts	0.1220424385553089	13	13.0	0.0165723714150917	0.0303384879372279	0.0309076972165073	True	True	Brain - Putamen (basal ganglia)	Heart - Left Ventricle	False	False	True	True	False
ENSG00000271335.5	Heart - Left Ventricle	Muscle - Skeletal	0.2310135176352931	16	16.0	0.0794364981474932	0.188229963001669	0.246961626818028	False	False	Brain - Cerebellar Hemisphere	Lung	True	True	True	False	True
ENSG00000270332.1	Cells - Cultured fibroblasts	Heart - Left Ventricle	0.1595662182994848	14	14.0	0.0050078111973516	0.0155654555098859	0.0174813632744931	True	True	Brain - Cerebellar Hemisphere	Brain - Putamen (basal ganglia)	True	True	True	True	True
ENSG00000271270.5	Heart - Left Ventricle	Liver	0.2530558912502478	15	15.0	0.541169590636559	0.754596515559822	0.553872391536369	False	False	Brain - Cerebellar Hemisphere	Cells - Cultured fibroblasts	True	True	True	False	True
ENSG00000271913.5	Brain - Cerebellar Hemisphere	Heart - Left Ventricle	0.271160511881437	15	15.0	0.285781614065215	0.347258343501638	0.458911482512931	False	False	Brain - Cerebellar Hemisphere	Cells - Cultured fibroblasts	False	False	True	False	False
ENSG00000272288.5	Brain - Putamen (basal ganglia)	Muscle - Skeletal	0.1756607998832275	15	15.0	0.290222872634835	0.387057119434886	0.821891437259702	False	False	Brain - Putamen (basal ganglia)	Heart - Atrial Appendage	True	False	True	False	False
ENSG00000272138.1	Brain - Cerebellar Hemisphere	Brain - Putamen (basal ganglia)	0.0591092154633616	14		0.0002276344082906	0.0007095301854746	0.0009602917398465	True	True			False	False	False	True	
ENSG00000273297.1	Brain - Frontal Cortex (BA9)	Brain - Putamen (basal ganglia)	0.062147392519354	12	13.0	0.102270212466804	0.46780939760245	0.154084988054992	False	False	Brain - Putamen (basal ganglia)	Cells - Cultured fibroblasts	True	True	True	False	False
ENSG00000273143.1	Brain - Cerebellar Hemisphere	Cells - Cultured fibroblasts	0.2485645809329544	15	15.0	0.908226428544641	0.930576519627395	0.851824872390971	False	False	Cells - Cultured fibroblasts	Liver	False	False	True	False	False
ENSG00000272702.1	Brain - Frontal Cortex (BA9)	Lung	0.1286732296155427	14	14.0	7.40171467441818e-05	0.0002362394845276	0.0002201683924139	True	True	Brain - Cerebellar Hemisphere	Brain - Putamen (basal ganglia)	True	True	True	False	True
ENSG00000275294.4	Brain - Frontal Cortex (BA9)	Liver	0.5753692321489077	14	13.0	0.256334034494643	0.36033841734288	0.395150736871324	False	False	Brain - Frontal Cortex (BA9)	Cells - Cultured fibroblasts	False	False	True	False	False
ENSG00000278133.1	Brain - Putamen (basal ganglia)	Cells - Cultured fibroblasts	0.0405141663948593	13	13.0	0.598627624395804	0.678708281003665	0.827672558115355	False	False	Brain - Putamen (basal ganglia)	Heart - Left Ventricle	True	True	True	False	True
ENSG00000274265.4	Lung	Muscle - Skeletal	0.2322330149621252	17	17.0	0.0012878989839646	0.0034131868329971	0.0032973439443292	True	True	Heart - Atrial Appendage	Liver	False	False	True	True	False
ENSG00000276170.4	Heart - Atrial Appendage	Heart - Left Ventricle	0.1515608608398687	16	16.0	0.710171663055436	0.965423887984732	0.911383044386692	False	False	Liver	Lung	False	False	True	False	False
ENSG00000278611.1	Cells - Cultured fibroblasts	Heart - Atrial Appendage	0.0793913932942888	16	16.0	0.0928435876609098	0.160920909025675	0.166575130841487	False	False	Cells - Cultured fibroblasts	Muscle - Skeletal	False	False	True	False	False
ENSG00000278175.3	Brain - Frontal Cortex (BA9)	Cells - Cultured fibroblasts	0.3217892942908702	13	13.0	0.918813929008988	0.944100366906381	0.596157927840747	False	False	Brain - Frontal Cortex (BA9)	Heart - Left Ventricle	True	True	True	False	True
ENSG00000274253.4	Brain - Frontal Cortex (BA9)	Muscle - Skeletal	0.1079384399573996	15	15.0	1.7694434767673998e-37	8.13943999313005e-35	1.09541156368339e-12	True	True	Brain - Frontal Cortex (BA9)	Heart - Atrial Appendage	True	True	True	False	False
ENSG00000278932.3	Brain - Frontal Cortex (BA9)	Liver	0.1507934807535766	14	14.0	4.17983559922543e-07	2.56014930452558e-06	0.0002061417457499	True	True	Cells - Cultured fibroblasts	Heart - Left Ventricle	True	True	True	False	False
ENSG00000280145.3	Cells - Cultured fibroblasts	Heart - Left Ventricle	0.4236420397242566	14	14.0	0.16308708661715	0.277984569575813	0.19859461619823	False	False	Brain - Frontal Cortex (BA9)	Lung	False	False	True	False	False
ENSG00000281392.1	Cells - Cultured fibroblasts	Heart - Left Ventricle	0.0427500994424659	14	14.0	0.194154006958649	0.321193187311045	0.549091661302478	False	False	Brain - Cerebellar Hemisphere	Brain - Putamen (basal ganglia)	True	False	True	False	False
ENSG00000281103.1	Brain - Cerebellar Hemisphere	Heart - Atrial Appendage	0.326946815584038	17	17.0	3.18171789395268e-07	9.92667189086142e-07	2.35399200090602e-05	True	True	Heart - Atrial Appendage	Lung	True	True	True	True	True
ENSG00000282024.1	Brain - Cerebellar Hemisphere	Brain - Putamen (basal ganglia)	0.1501300751241446	14	14.0	0.0022760042839581	0.0056858268784909	0.0128526879314131	True	True	Brain - Putamen (basal ganglia)	Lung	False	False	True	False	False
ENSG00000283128.1	Brain - Cerebellar Hemisphere	Liver	0.6718076011669105	16		6.41596576538447e-16	7.1149408975483e-15	2.96574724302318e-06	True	True			False	False	False	True	
ENSG00000283196.1	Brain - Putamen (basal ganglia)	Cells - Cultured fibroblasts	0.177399356172122	13	13.0	5.943023376318811e-15	9.37904723642038e-14	3.62709904579034e-07	True	True	Brain - Frontal Cortex (BA9)	Heart - Left Ventricle	False	False	True	True	False
ENSG00000283213.1	Brain - Cerebellar Hemisphere	Brain - Frontal Cortex (BA9)	0.1544107702543235	14	14.0	0.0004067164080706	0.0014054883468772	0.0006659375173791	True	True	Brain - Frontal Cortex (BA9)	Lung	False	False	True	False	False
ENSG00000284428.1	Brain - Cerebellar Hemisphere	Cells - Cultured fibroblasts	0.1322995949854825	15	15.0	7.332585182591261e-10	3.23954084915768e-09	2.74750404764015e-05	True	True	Brain - Putamen (basal ganglia)	Muscle - Skeletal	False	False	True	True	False
ENSG00000284196.1	Cells - Cultured fibroblasts	Liver	0.3542564214464665	15	15.0	0.0919139005574767	0.17598308698487	0.194866308106807	False	False	Heart - Left Ventricle	Lung	True	True	True	False	True
ENSG00000283897.1	Brain - Frontal Cortex (BA9)	Lung	0.2395002699318995	14	14.0	0.922501908867952	0.939497154057118	0.767608417358772	False	False	Brain - Putamen (basal ganglia)	Lung	False	False	True	False	False
