gene_id	switch_sig	visibility_kw	visibility_deseq2	visibility_edger
ENSG00000254489.1	False	none	gene_only	gene_only
ENSG00000255284.1	True	visible	visible	visible
ENSG00000255435.6	False	none	gene_only	gene_only
ENSG00000254510.1	False	none	gene_only	gene_only
ENSG00000255121.2	False	none	gene_only	gene_only
ENSG00000255129.5	False	none	gene_only	gene_only
ENSG00000254614.2	False	gene_only	gene_only	gene_only
ENSG00000230724.9	True	silent	visible	visible
ENSG00000255458.5	False	none	gene_only	gene_only
ENSG00000255031.5	False	gene_only	gene_only	gene_only
ENSG00000255182.2	False	gene_only	gene_only	gene_only
ENSG00000255517.6	False	gene_only	gene_only	gene_only
ENSG00000254815.5	False	gene_only	gene_only	gene_only
ENSG00000255197.5	True	silent	visible	visible
ENSG00000254531.1	False	gene_only	gene_only	gene_only
