gene_id	switch_sig	visibility_kw	visibility_deseq2	visibility_edger
ENSG00000225302.2	False	gene_only	gene_only	gene_only
ENSG00000231574.5	False	none	gene_only	gene_only
ENSG00000230084.5	False	gene_only	gene_only	gene_only
ENSG00000227060.6	False	none	gene_only	gene_only
ENSG00000233532.5	False	gene_only	gene_only	gene_only
ENSG00000227115.7	False	gene_only	gene_only	gene_only
ENSG00000223891.5	True	visible	visible	visible
ENSG00000233005.1	True	silent	visible	visible
ENSG00000237595.3	False	none	gene_only	gene_only
ENSG00000230148.8	False	gene_only	gene_only	gene_only
ENSG00000235706.7	True	visible	visible	visible
ENSG00000230337.1	False	gene_only	gene_only	gene_only
ENSG00000203709.11	False	gene_only	gene_only	gene_only
ENSG00000233593.8	True	visible	visible	visible
ENSG00000225434.2	False	gene_only	gene_only	gene_only
ENSG00000236008.1	False	gene_only	gene_only	gene_only
ENSG00000229797.1	False	gene_only	gene_only	gene_only
ENSG00000227403.1	False	none	gene_only	gene_only
ENSG00000175772.10	False	gene_only	gene_only	gene_only
ENSG00000232628.5	True	silent	visible	visible
ENSG00000234336.6	True	visible	visible	visible
ENSG00000236939.2	False	none	gene_only	gene_only
ENSG00000231160.9	True	visible	visible	visible
ENSG00000229124.6	False	none	gene_only	gene_only
ENSG00000231769.2	False	gene_only	gene_only	gene_only
ENSG00000229896.2	False	none	gene_only	gene_only
ENSG00000233058.1	True	visible	visible	visible
ENSG00000230487.7	True	silent	visible	visible
ENSG00000236208.1	False	gene_only	gene_only	gene_only
ENSG00000230490.2	False	none	gene_only	gene_only
ENSG00000249307.5	False	gene_only	gene_only	gene_only
ENSG00000203706.8	False	gene_only	gene_only	gene_only
ENSG00000180139.11	False	gene_only	gene_only	gene_only
ENSG00000231212.1	False	none	gene_only	gene_only
ENSG00000230725.5	False	gene_only	gene_only	gene_only
ENSG00000231437.3	False	gene_only	gene_only	gene_only
ENSG00000223812.5	False	none	gene_only	gene_only
ENSG00000235501.5	False	gene_only	gene_only	gene_only
ENSG00000225793.2	False	none	gene_only	gene_only
ENSG00000234665.8	False	none	gene_only	gene_only
ENSG00000226686.7	True	visible	visible	visible
ENSG00000228127.2	False	none	gene_only	gene_only
ENSG00000228221.5	True	silent	visible	visible
ENSG00000236039.2	True	visible	visible	visible
ENSG00000237813.3	True	silent	visible	visible
ENSG00000224914.3	False	none	gene_only	gene_only
ENSG00000223485.2	True	visible	visible	visible
ENSG00000227071.1	False	none	gene_only	gene_only
ENSG00000238197.5	True	silent	visible	visible
ENSG00000225595.2	False	none	gene_only	gene_only
ENSG00000237188.3	True	visible	silent	silent
ENSG00000233705.6	True	silent	visible	visible
ENSG00000231908.1	False	gene_only	gene_only	gene_only
ENSG00000274020.2	True	visible	visible	visible
ENSG00000241764.3	False	none	gene_only	gene_only
ENSG00000226403.1	False	gene_only	gene_only	gene_only
ENSG00000236947.5	False	none	gene_only	gene_only
ENSG00000232406.6	False	none	gene_only	gene_only
ENSG00000235513.1	False	gene_only	gene_only	gene_only
ENSG00000250608.1	False	gene_only	gene_only	gene_only
ENSG00000227039.6	False	gene_only	gene_only	gene_only
ENSG00000227591.5	True	visible	visible	visible
ENSG00000227053.1	True	visible	visible	visible
ENSG00000277631.4	False	none	gene_only	gene_only
ENSG00000232645.5	True	visible	visible	visible
ENSG00000234350.4	False	gene_only	gene_only	gene_only
ENSG00000226200.6	False	none	none	none
ENSG00000228651.1	False	none	gene_only	gene_only
