gene_id	switch_sig	q_rank_cpm	de_rank_tpm	de_rank_cpm	de_deseq2	de_edger
ENSG00000204055.4	False	0.012440547960889562	True	True	True	True
ENSG00000125804.13	False	0.031309593539223086	True	True	True	True
ENSG00000204706.14	False	0.3906915309692998	False	False	True	True
ENSG00000204792.2	True	0.6077701176757027	False	False	False	True
ENSG00000204802.3	False	0.3829071569893041	False	False	False	False
ENSG00000204860.4	False	1.7701345096244608e-06	True	True	True	True
ENSG00000204929.12	True	0.17949528190747419	False	False	True	True
ENSG00000168405.15	True	4.445692646966482e-06	True	True	True	True
ENSG00000205037.2	True	0.10418790839752555	True	False	True	True
ENSG00000205181.5	False	0.0004672948122504856	True	True	True	True
ENSG00000120664.10	False	1.0	False	False	True	True
ENSG00000234449.2	False	0.18601051807086766	True	False	True	True
ENSG00000237945.7	False	0.0013468882202854714	True	True	True	True
ENSG00000205696.4	False	0.027051660472295656	True	True	True	True
ENSG00000205740.2	False	0.41600320206467317	False	False	False	False
ENSG00000248932.5	False	4.666575374456945e-05	True	True	True	True
ENSG00000205885.7	False	1.1861435455563252e-05	True	True	True	True
ENSG00000237975.6	False	0.15238064396144074	False	False	True	True
ENSG00000205913.6	False	0.01597070647190489	True	True	True	True
ENSG00000205930.8	False	0.045024683527605705	False	True	False	False
ENSG00000206187.3	False	0.3080731032480879	False	False	True	True
ENSG00000206195.10	False	0.7492042397968773	False	False	True	True
ENSG00000206417.8	True	0.0054689480860946466	True	True	True	True
ENSG00000206567.9	False	0.1652650845377514	False	False	True	True
ENSG00000203288.3	False	0.001093561636345847	True	True	True	True
ENSG00000224043.7	True	0.1139975952925028	True	False	True	True
ENSG00000233175.2	True	0.002448095904283471	True	True	True	True
ENSG00000247498.9	False	0.33579578829906426	True	False	True	True
ENSG00000227540.1	True	0.001902791083300239	True	True	True	True
ENSG00000177335.10	True	0.024442000110951198	True	True	True	True
ENSG00000224281.4	True	0.7365408070078904	False	False	True	True
ENSG00000220575.7	False	0.03095280832738525	True	True	True	True
ENSG00000236432.7	False	0.590415400345661	False	False	True	True
ENSG00000213963.6	False	0.004574320636183918	True	True	True	True
ENSG00000232807.2	False	1.549717017041688e-05	True	True	True	True
ENSG00000214049.6	False	0.02250247121630884	False	True	True	True
ENSG00000214106.7	True	2.8364091290712496e-05	True	True	True	True
ENSG00000214293.8	True	9.977614508740442e-06	True	True	True	True
ENSG00000214353.7	False	1.0	False	False	True	True
ENSG00000214401.4	True	0.1134921116807559	False	False	True	True
ENSG00000214548.14	True	1.1974527380694845e-06	True	True	True	True
ENSG00000236200.5	False	0.051425117474217796	True	False	True	True
ENSG00000214719.11	False	0.04721992026495123	True	True	True	True
ENSG00000214900.9	True	5.001382179657631e-05	True	True	True	True
ENSG00000214922.9	True	6.92506866698846e-06	True	True	True	True
ENSG00000186960.10	True	0.007340598834322478	True	True	True	True
ENSG00000215022.7	False	0.09069673235965506	False	False	True	True
ENSG00000215039.6	True	9.117983974815553e-06	True	True	True	True
ENSG00000215067.9	True	0.0008545526906050896	True	True	True	True
ENSG00000215068.7	True	0.0009147164255949367	True	True	True	True
ENSG00000215256.3	True	7.927325633852992e-06	True	True	True	True
ENSG00000215386.11	True	1.0443740678351003e-06	True	True	True	True
ENSG00000215447.7	False	2.6939339548354515e-05	True	True	True	True
ENSG00000215483.9	True	0.3480216684959114	True	False	True	True
ENSG00000242349.5	False	0.00036485581578962593	True	True	True	True
ENSG00000215859.8	False	0.003957411284541181	True	True	True	True
ENSG00000215866.7	False	0.2355439316324217	True	False	True	True
ENSG00000216895.9	True	1.0443740678351003e-06	True	True	True	True
ENSG00000218416.4	False	0.08514903709409641	False	False	True	True
ENSG00000219665.8	True	5.558042688316452e-06	True	True	True	True
ENSG00000221819.5	False	0.03185063155653035	True	True	True	True
ENSG00000186235.10	False	0.049293486236344754	True	True	True	True
ENSG00000222020.2	True	0.035392616544365894	True	True	True	True
ENSG00000231742.5	False	0.01708981944980131	False	True	True	True
ENSG00000224429.7	False	0.06286684998502333	True	False	True	True
ENSG00000234494.7	False	0.0007982490742703427	True	True	True	True
ENSG00000232442.1	True	3.504623993953939e-06	True	True	True	True
ENSG00000230387.2	False	0.9070745831078814	False	False	True	True
ENSG00000226950.6	True	3.11351137581009e-06	True	True	True	True
ENSG00000223745.7	True	1.1131946459129242e-06	True	True	True	True
ENSG00000225331.1	False	0.00026472654090278075	True	True	True	True
ENSG00000229956.10	True	0.20054451095016768	False	False	True	True
ENSG00000231170.5	True	0.0006596757148306469	True	True	True	True
ENSG00000226644.5	False	0.142570841646795	False	False	True	True
ENSG00000130600.17	True	0.0013468882202854714	True	True	True	True
ENSG00000234741.7	True	1.6110725389654905e-06	True	True	True	True
ENSG00000229891.1	False	0.09278057256044857	True	False	True	True
ENSG00000228274.3	False	7.318967368801234e-05	True	True	True	True
ENSG00000229847.8	False	0.0009607653374390344	True	True	True	True
ENSG00000179406.7	False	0.0005021608822209842	True	True	True	True
ENSG00000204261.8	False	1.1131946459129242e-06	True	True	True	True
ENSG00000237491.8	False	0.00020436303488822335	True	True	True	True
ENSG00000225194.2	False	0.0071546013161915105	True	True	True	True
