gene_id	switch_sig	padj_deseq2	padj_edger	gene_de_kw	gene_de_deseq2	gene_de_edger	visibility_kw	visibility_deseq2	visibility_edger
ENSG00000264968.1	False	2.33571574061651e-08	1.44016846190239e-06	False	True	True	none	gene_only	gene_only
ENSG00000215769.8	True	1.93094813214316e-45	2.64780373101058e-18	True	True	True	visible	visible	visible
ENSG00000263412.1	False	3.4731151671133004e-16	5.3598963584263293e-11	True	True	True	gene_only	gene_only	gene_only
ENSG00000266835.5	False	3.63582037639249e-60	1.1496356193502799e-33	False	True	True	none	gene_only	gene_only
ENSG00000263958.1	False	1.67136415658803e-118	1.79404291833403e-28	False	True	True	none	gene_only	gene_only
ENSG00000270820.5	False	0.0010902426397282	0.0069426905505365	True	True	True	gene_only	gene_only	gene_only
ENSG00000263400.6	False	9.13927825265717e-68	4.6325702985145296e-27	True	True	True	gene_only	gene_only	gene_only
ENSG00000264589.2	False	1.18639029600968e-67	1.17888828985878e-22	False	True	True	none	gene_only	gene_only
ENSG00000266010.1	True	9.706505115820149e-209	8.50577155170772e-37	True	True	True	visible	visible	visible
ENSG00000265055.1	False	1.23220078312959e-05	1.67423995192687e-06	False	True	True	none	gene_only	gene_only
ENSG00000263603.1	False	2.65411210238642e-32	1.43594864712331e-15	True	True	True	gene_only	gene_only	gene_only
ENSG00000265479.6	False	8.80702499309249e-10	4.83197670281378e-06	True	True	True	gene_only	gene_only	gene_only
ENSG00000263766.5	True	9.53099768512771e-06	5.04885912220461e-05	False	True	True	silent	visible	visible
ENSG00000264734.1	False	5.63314883233725e-07	3.1063867474482502e-09	False	True	True	none	gene_only	gene_only
ENSG00000266402.3	False	4.34908734718649e-11	3.65857958999674e-08	True	True	True	gene_only	gene_only	gene_only
ENSG00000265542.5	False	1.28498254814722e-52	4.4885699314073904e-23	False	True	True	none	gene_only	gene_only
ENSG00000265688.1	False	0.016992046896559	0.0335829514541315	True	True	True	gene_only	gene_only	gene_only
ENSG00000266053.2	True	8.50434412507708e-19	3.7487678690852304e-14	True	True	True	visible	visible	visible
ENSG00000264569.1	False	6.18972253353205e-39	3.1729855519960803e-20	True	True	True	gene_only	gene_only	gene_only
ENSG00000279668.2	True	8.615207327407121e-31	3.09944514158247e-23	True	True	True	visible	visible	visible
ENSG00000267278.5	False	0.0003741082262461	4.28749037019131e-05	False	True	True	none	gene_only	gene_only
ENSG00000267364.1	False	8.947046244732951e-84	8.544281267844459e-36	True	True	True	gene_only	gene_only	gene_only
ENSG00000266916.5	True	5.81022141055605e-54	1.4938519140453101e-21	True	True	True	visible	visible	visible
ENSG00000166770.10	False	2.31887778306751e-28	2.4448253900183e-17	True	True	True	gene_only	gene_only	gene_only
ENSG00000267080.5	False	4.90298593025885e-10	3.11703928691621e-06	True	True	True	gene_only	gene_only	gene_only
ENSG00000267121.5	False	1.33047390224542e-20	1.13359820686486e-14	True	True	True	gene_only	gene_only	gene_only
ENSG00000267659.5	True	6.119033748651281e-19	5.3898508298147404e-14	False	True	True	silent	visible	visible
ENSG00000267383.6	False	0.0018588596259095	0.0021326048639914	False	True	True	none	gene_only	gene_only
ENSG00000267470.5	True	2.59514262509235e-18	5.34262222368315e-12	True	True	True	visible	visible	visible
ENSG00000267586.6	True	2.12560808632094e-11	1.81634294346861e-08	False	True	True	silent	visible	visible
ENSG00000267454.5	True	2.11487571080407e-59	3.2711734229893197e-22	True	True	True	visible	visible	visible
ENSG00000267198.1	True	3.41776966813739e-13	1.02391107024034e-08	True	True	True	visible	visible	visible
ENSG00000267106.5	False	8.57923993378477e-21	2.55045485007903e-10	True	True	True	gene_only	gene_only	gene_only
ENSG00000267649.1	True	3.46259126577176e-06	2.52998964686861e-07	False	True	True	silent	visible	visible
ENSG00000267575.6	True	3.03710262719338e-14	3.7251375286763305e-09	True	True	True	visible	visible	visible
ENSG00000232006.8	False	3.03429334250147e-15	6.5207316891467995e-12	False	True	True	none	gene_only	gene_only
ENSG00000267248.1	False	6.98731913366661e-32	2.09601646414891e-14	True	True	True	gene_only	gene_only	gene_only
ENSG00000266903.1	True	4.2884458963795595e-36	5.58004654949047e-22	True	True	True	visible	visible	visible
ENSG00000267302.5	True	4.26981586252877e-70	7.125914891320621e-25	True	True	True	visible	visible	visible
ENSG00000267737.1	False	0.0238859203371126	0.0056015657979935	False	True	True	none	gene_only	gene_only
ENSG00000267605.5	False	1.50267768357415e-26	5.99458721273832e-17	True	True	True	gene_only	gene_only	gene_only
ENSG00000267053.6	False	4.11963497960148e-12	1.00285872489349e-10	False	True	True	none	gene_only	gene_only
ENSG00000267750.5	False	6.2112891980739805e-52	3.61688640878184e-26	True	True	True	gene_only	gene_only	gene_only
ENSG00000267270.5	False	1.63345827541369e-06	5.94695884722756e-06	False	True	True	none	gene_only	gene_only
ENSG00000267009.6	True	3.1634819524033397e-13	9.81042823071251e-11	True	True	True	visible	visible	visible
ENSG00000267199.1	False	1.27674963660235e-06	2.77467656977707e-06	True	True	True	gene_only	gene_only	gene_only
ENSG00000266904.5	True	0.0651189098313555	0.0851127239197714	True	False	False	visible	silent	silent
ENSG00000267128.1	False	6.23904227751521e-06	1.06427390414793e-07	False	True	True	none	gene_only	gene_only
ENSG00000267280.5	False	4.90291453284111e-18	2.1437750692489799e-13	True	True	True	gene_only	gene_only	gene_only
ENSG00000266993.3	False	9.888580047027791e-14	5.0041703607310497e-11	True	True	True	gene_only	gene_only	gene_only
ENSG00000267665.1	False	3.28867182326383e-69	1.0237933409491299e-22	True	True	True	gene_only	gene_only	gene_only
ENSG00000267265.5	False	0.0002013264411618	5.43207074136218e-05	False	True	True	none	gene_only	gene_only
ENSG00000266921.1	False	2.09308053537132e-06	7.72196862954609e-06	False	True	True	none	gene_only	gene_only
ENSG00000267279.1	True	7.76801409712811e-58	5.73201253033537e-29	True	True	True	visible	visible	visible
ENSG00000267058.1	False	2.25385588185436e-33	4.17665088499128e-17	True	True	True	gene_only	gene_only	gene_only
ENSG00000267254.5	True	1.9123130669633699e-56	1.8279678034838102e-21	True	True	True	visible	visible	visible
ENSG00000266970.1	False	2.5144926844714803e-09	2.20326867671822e-12	True	True	True	gene_only	gene_only	gene_only
ENSG00000197291.8	False	2.49911463177353e-08	8.81488993380025e-08	False	True	True	none	gene_only	gene_only
ENSG00000225313.5	True	5.332449111078491e-15	9.17483306944935e-10	True	True	True	visible	visible	visible
ENSG00000267421.6	True	1.29028947648299e-22	9.726208266551961e-14	True	True	True	visible	visible	visible
ENSG00000267751.5	False	1.26343306387516e-15	1.62283481764975e-13	True	True	True	gene_only	gene_only	gene_only
ENSG00000267452.1	False	2.08160836588065e-16	1.40188961022668e-11	True	True	True	gene_only	gene_only	gene_only
ENSG00000267169.1	False	1.24842168862797e-07	1.69090164782367e-05	True	True	True	gene_only	gene_only	gene_only
ENSG00000267107.6	False	2.3355270536357e-71	4.04019986239739e-26	True	True	True	gene_only	gene_only	gene_only
ENSG00000283633.1	True	3.2234546048651403e-23	4.85663310557594e-14	True	True	True	visible	visible	visible
ENSG00000267432.5	False	2.63875557158359e-08	4.22167795276905e-10	False	True	True	none	gene_only	gene_only
ENSG00000266947.1	False	1.20043934682011e-20	1.45669677222047e-13	True	True	True	gene_only	gene_only	gene_only
ENSG00000267072.2	True	1.6996903645792602e-09	6.4368830596496904e-09	False	True	True	silent	visible	visible
ENSG00000267251.2	False	3.69398522248395e-14	2.6428589080176802e-14	False	True	True	none	gene_only	gene_only
ENSG00000204282.4	False	7.47096635027759e-35	2.63482150827062e-19	True	True	True	gene_only	gene_only	gene_only
ENSG00000267322.2	True	1.57285749179282e-08	1.68232446950869e-07	False	True	True	silent	visible	visible
ENSG00000267014.5	False	1.88720916294651e-72	2.94586374709233e-23	True	True	True	gene_only	gene_only	gene_only
ENSG00000186019.10	False	5.62294609394973e-10	2.63415747108588e-09	True	True	True	gene_only	gene_only	gene_only
ENSG00000267002.2	True	2.0913894505763698e-56	3.9539093875175e-17	True	True	True	visible	visible	visible
ENSG00000267260.1	False	1.73171281399251e-47	1.47715509995298e-22	True	True	True	gene_only	gene_only	gene_only
ENSG00000267244.5	False	0.0058425325259729	0.0026879812812924	False	True	True	none	gene_only	gene_only
