gene_id	lnc_isi	gene_de	switch_sig	visibility	n_expr	small_perm
ENSG00000245293.2	0.051899165721526475	True	False	gene_only	43	False
ENSG00000246985.7	0.06728328970428687	True	False	gene_only	44	False
ENSG00000245498.6	0.15077952602991282	True	True	visible	20	False
ENSG00000246090.6	0.16245077057255153	True	False	gene_only	34	False
ENSG00000245146.6	0.4163806326784629	True	True	visible	33	False
ENSG00000247240.7	0.029735949632907203	True	False	gene_only	56	False
ENSG00000245468.3	0.1826018886954072	True	False	gene_only	51	False
ENSG00000247157.6	0.05189917317210707	True	False	gene_only	33	False
ENSG00000247193.2	0.01835370028983431	False	False	none	18	False
ENSG00000245213.6	0.4553716059026843	True	True	visible	14	False
ENSG00000244879.6	0.04543816947272336	True	True	visible	68	False
ENSG00000245937.7	0.10843797507830559	True	True	visible	68	False
ENSG00000247950.6	0.14751873679802763	True	False	gene_only	38	False
ENSG00000245149.3	0.22327056976519413	True	True	visible	51	False
ENSG00000246430.6	0.025212596102936906	True	False	gene_only	12	False
ENSG00000247708.7	0.1807479926388274	True	False	gene_only	38	False
ENSG00000247796.2	0.028383351313785977	True	False	gene_only	34	False
ENSG00000247400.3	0.01294061710664516	True	False	gene_only	58	False
ENSG00000246523.7	0.1363050657896009	False	False	none	26	False
ENSG00000247081.7	0.7373963685410537	False	True	silent	23	False
ENSG00000245281.6	0.47571302880640215	True	True	visible	51	False
ENSG00000246982.6	0.06823359434098646	False	False	none	13	False
ENSG00000245812.2	0.05868118614462923	True	False	gene_only	17	False
ENSG00000246263.2	0.03586482460726939	True	False	gene_only	57	False
ENSG00000246731.2	0.08001499288559348	True	False	gene_only	25	False
ENSG00000245904.3	0.2121127927231166	True	True	visible	49	False
ENSG00000245532.7	0.0045497788373962235	True	True	visible	68	False
ENSG00000246100.3	0.07035174830523235	True	False	gene_only	27	False
ENSG00000245888.6	0.46108189307364483	True	False	gene_only	23	False
ENSG00000245849.6	0.016903564539675217	True	False	gene_only	65	False
ENSG00000247287.2	0.16919483948206493	True	True	visible	30	False
ENSG00000246695.7	0.07288484080401685	True	False	gene_only	67	False
ENSG00000246174.7	0.20733131257864482	True	False	gene_only	49	False
ENSG00000246089.3	0.14729679621103517	True	True	visible	62	False
ENSG00000247572.7	0.3653959526443178	True	True	visible	50	False
ENSG00000246889.2	0.11538009786284517	True	False	gene_only	51	False
ENSG00000246022.2	0.017674897488876323	False	False	none	30	False
ENSG00000247774.6	0.12617166523840745	True	False	gene_only	50	False
ENSG00000247092.6	0.28492487977980474	True	True	visible	67	False
ENSG00000247095.2	0.11550374935129258	True	True	visible	62	False
ENSG00000245614.3	0.10910373938854422	False	False	none	27	False
ENSG00000247416.2	0.004591448574876301	False	False	none	20	False
ENSG00000247137.8	0.3125403583136379	True	True	visible	66	False
ENSG00000245598.6	0.09891754452204074	False	False	none	6	True
ENSG00000244968.6	0.049802579281011984	True	False	gene_only	51	False
ENSG00000248019.2	0.049738436701892486	True	False	gene_only	32	False
ENSG00000247134.6	0.03855591666277576	True	False	gene_only	62	False
ENSG00000246582.2	0.023428688118897006	False	False	none	12	False
ENSG00000247556.6	0.07023683408959247	True	True	visible	68	False
ENSG00000246067.7	0.13273931313796736	True	True	visible	67	False
ENSG00000247271.6	0.06150065971571636	False	True	silent	67	False
ENSG00000246528.3	0.20485269412631613	False	True	silent	25	False
ENSG00000248079.2	0.024747483334109317	True	False	gene_only	30	False
ENSG00000245694.9	0.6816475083933334	True	True	visible	52	False
ENSG00000246339.5	0.0630189134175759	True	False	gene_only	24	False
ENSG00000246379.6	0.04010618297911058	True	False	gene_only	37	False
ENSG00000245275.7	0.2608145657697476	False	False	none	11	False
ENSG00000247121.6	0.03377681121606323	True	False	gene_only	35	False
ENSG00000245552.6	0.33291153026692666	False	False	none	18	False
ENSG00000214432.9	0.06601849050834321	True	False	gene_only	21	False
ENSG00000246662.6	0.06166744004938937	False	False	none	8	True
ENSG00000245017.2	0.14768449625261432	True	False	gene_only	25	False
ENSG00000247982.6	0.11271178132216578	False	False	none	24	False
ENSG00000245571.6	0.09144382810409678	True	False	gene_only	37	False
ENSG00000245685.6	0.1706770357603376	True	False	gene_only	16	False
ENSG00000245060.6	0.07778009840216324	True	False	gene_only	64	False
ENSG00000247516.6	0.04754378286493283	True	False	gene_only	67	False
ENSG00000247675.6	0.08800565046287451	False	False	none	20	False
ENSG00000245025.2	0.00025065648911222656	False	False	none	11	False
ENSG00000247809.7	0.468282333540532	True	True	visible	40	False
ENSG00000247317.3	0.31094753147986454	True	True	visible	37	False
ENSG00000250320.5	0.27552464858987014	False	False	none	14	False
ENSG00000245526.10	0.21863692392082235	True	True	visible	19	False
ENSG00000237125.8	0.3433055282591172	True	True	visible	31	False
ENSG00000178722.12	0.1664461030773947	False	False	none	8	True
ENSG00000250365.6	0.1388140190027692	False	False	none	6	True
ENSG00000250802.6	0.37134455499395136	False	True	silent	35	False
ENSG00000249267.6	0.062301212895090774	True	False	gene_only	22	False
ENSG00000251372.5	0.0024324409469453096	False	False	none	11	False
ENSG00000249328.2	0.3244311978402181	True	True	visible	16	False
ENSG00000248714.6	0.0633906601568398	False	False	none	6	True
ENSG00000248161.5	0.1903922662804558	True	True	visible	52	False
ENSG00000248890.1	0.0051209159560100595	True	False	gene_only	37	False
ENSG00000250938.5	0.208631456720142	True	False	gene_only	28	False
ENSG00000249364.5	0.08041315087817855	True	False	gene_only	17	False
ENSG00000237187.8	0.1285380029423376	True	True	visible	43	False
ENSG00000248174.5	0.2220807537919622	False	False	none	12	False
ENSG00000251141.5	0.5010108239826445	True	True	visible	56	False
ENSG00000249592.5	0.09880909553828283	True	False	gene_only	54	False
ENSG00000251442.5	0.1393249420075648	True	False	gene_only	36	False
ENSG00000248587.7	0.29259682336576315	True	False	gene_only	14	False
ENSG00000250999.1	0.020383136066348728	True	False	gene_only	29	False
ENSG00000250041.2	0.13098757746084355	True	True	visible	15	False
ENSG00000248092.7	0.07712276529412648	True	True	visible	67	False
ENSG00000250007.6	0.0	False	False	none	6	True
ENSG00000250328.5	0.03518360377890676	True	True	visible	16	False
ENSG00000250132.6	0.21446850021684172	True	True	visible	59	False
ENSG00000248429.5	0.029028668032048427	False	False	none	14	False
ENSG00000251022.6	0.05473075442312389	True	False	gene_only	68	False
ENSG00000249673.6	0.321440577047297	True	True	visible	52	False
ENSG00000249509.1	0.0037644365902734893	False	False	none	11	False
ENSG00000251136.8	0.2789423449526552	True	False	gene_only	49	False
ENSG00000251364.6	0.3934982474755585	True	True	visible	13	False
ENSG00000248508.6	0.16406730152828525	True	True	visible	68	False
ENSG00000249042.5	0.14851926109318125	True	True	visible	56	False
ENSG00000251602.6	0.044531333297696964	True	False	gene_only	59	False
ENSG00000249306.5	0.2922642496590364	False	True	silent	22	False
ENSG00000249816.6	0.1685754473507201	False	False	none	11	False
ENSG00000249859.9	0.334821757749587	True	True	visible	39	False
ENSG00000249846.6	0.03416263817099568	False	False	none	19	False
ENSG00000248858.7	0.014435073408176194	False	False	none	10	False
ENSG00000152931.7	0.38113991450987206	False	True	silent	10	False
ENSG00000250073.2	0.10983861565120652	True	True	visible	25	False
ENSG00000251432.6	0.20245106768772697	True	True	visible	21	False
ENSG00000248360.7	0.005222283043169548	True	False	gene_only	66	False
ENSG00000251165.5	0.5487949406953986	True	True	visible	20	False
ENSG00000251450.1	0.009151072891802638	False	False	none	11	False
ENSG00000249669.9	0.15870386766800115	True	True	visible	62	False
ENSG00000250241.5	0.01538596837426571	True	False	gene_only	14	False
ENSG00000196810.4	0.1405345434338909	True	True	visible	66	False
ENSG00000250056.5	0.07103692613522852	True	True	visible	24	False
ENSG00000250451.5	0.026463742117369474	False	True	silent	16	False
ENSG00000249203.1	0.020484203110309615	False	False	none	12	False
ENSG00000250208.6	0.1201447059543395	True	False	gene_only	18	False
ENSG00000248455.5	0.0025392782247212337	False	False	none	11	False
ENSG00000249487.6	0.13480141868254925	False	True	silent	12	False
ENSG00000249740.2	0.35806909861940955	True	True	visible	27	False
ENSG00000249173.5	0.02782488768722225	True	False	gene_only	11	False
ENSG00000249249.1	0.09857481698588436	True	False	gene_only	50	False
ENSG00000248810.1	0.04763300406657298	False	False	none	17	False
ENSG00000250198.1	0.02250471374742314	True	False	gene_only	9	True
ENSG00000250891.1	0.01787381776357111	True	False	gene_only	15	False
ENSG00000250846.6	3.249488046591555e-05	False	False	none	7	True
ENSG00000250326.1	0.02849546644285337	False	False	none	9	True
ENSG00000281501.1	0.25184550932687166	True	True	visible	67	False
ENSG00000250012.1	0.035623377479996735	True	False	gene_only	41	False
ENSG00000251661.3	0.06377924637693508	True	False	gene_only	63	False
ENSG00000249464.5	0.10820027024500765	False	True	silent	36	False
ENSG00000250786.1	0.0778887903397367	True	False	gene_only	58	False
ENSG00000250159.6	0.25515152250754547	True	True	visible	46	False
ENSG00000248668.2	0.034318999634213976	False	False	none	8	True
ENSG00000250978.5	3.302575443053793e-08	True	False	gene_only	17	False
ENSG00000248309.7	0.3063512187273907	True	True	visible	47	False
ENSG00000250742.2	0.034162641896285977	True	False	gene_only	47	False
ENSG00000248441.6	0.1536608463007117	True	False	gene_only	45	False
ENSG00000250548.6	0.0771815493754179	True	True	visible	15	False
ENSG00000251562.7	0.0003283987721392614	True	True	visible	68	False
ENSG00000250222.1	0.08646059971315974	True	True	visible	65	False
ENSG00000248671.7	0.11683108246460827	True	True	visible	24	False
ENSG00000248636.6	0.14855610928041768	True	False	gene_only	30	False
ENSG00000251151.2	0.024514917829011405	True	False	gene_only	14	False
ENSG00000249532.5	0.02422846488170928	True	False	gene_only	30	False
ENSG00000251257.2	0.013475571068913408	True	False	gene_only	20	False
ENSG00000251230.5	0.0006100912982567397	True	False	gene_only	11	False
ENSG00000250934.1	0.1912485588211385	True	False	gene_only	38	False
ENSG00000251637.6	0.7620059793881431	True	True	visible	54	False
ENSG00000248994.1	0.03275994378046971	True	False	gene_only	26	False
ENSG00000248738.6	0.0	True	False	gene_only	11	False
ENSG00000248323.5	0.028431191716784848	True	False	gene_only	28	False
ENSG00000248801.6	0.008671457686994993	True	False	gene_only	19	False
ENSG00000196951.10	0.189400321638875	True	True	visible	67	False
ENSG00000251580.1	0.023267360829415704	True	False	gene_only	67	False
ENSG00000251002.7	0.7500579280217728	False	False	none	7	True
ENSG00000249738.8	0.8519772032460148	False	True	silent	32	False
ENSG00000249898.7	0.14722796102611002	False	True	silent	18	False
ENSG00000253320.5	0.3367369556246208	True	True	visible	59	False
ENSG00000253716.5	0.13983126481534833	True	True	visible	67	False
